PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
Ocd0u,8/2p5/4k1p1/p1p4p/P3KP1P/1P6/2P5/8 b - - 0 34,c7c6 c2c3 e6d6 f4f5 g6f5 e4f5,2335,90,90,1976,crushing endgame long pawnEndgame quietMove zugzwang,https://lichess.org/sgKBdkB9/black#68,
mmmxR,r3k2r/pbq1bpp1/2pp1n1p/1B6/4P3/2Q5/PPP2PPP/RNB2RK1 w kq - 1 14,c1e3 f6e4 c3g7 e7f6 g7g4 c6b5,1784,75,94,17921,advantage long middlegame,https://lichess.org/6Rzdyzv6#27,Italian_Game Italian_Game_Anti-Fried_Liver_Defense
PgKxc,2kr3r/ppp2pp1/4p3/PP5p/3q2n1/R1N5/2PPQPPP/5RK1 w - - 0 16,b5b6 d4d6 g2g3 d6a3,1848,74,94,12959,crushing middlegame short,https://lichess.org/QRGBSvYB#31,Scandinavian_Defense Scandinavian_Defense_Mieses-Kotroc_Variation
IJAGH,5r2/5pkp/6q1/4Qp2/6pK/1B4PP/PP3P2/8 b - - 2 34,f7f6 e5e7 f8f7 e7f7 g6f7 b3f7,2037,75,96,717,crushing endgame long,https://lichess.org/MtyHmmUU/black#68,
XRsFI,3r3k/1q2b3/p5Q1/1p5r/4N3/P7/1PP3PP/5R1K b - - 0 30,h5h7 e4f6 e7d6 f6h7,1935,75,93,4094,advantage master middlegame short,https://lichess.org/uTj7Siol/black#60,
zwk6t,rn3r1k/ppp2pp1/3bp2B/8/3P4/2PB1q2/PP1Q1P1P/2KR2R1 b - - 0 14,g7h6 d2h6,518,90,82,84,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/RmeXyclj/black#28,French_Defense French_Defense_Tarrasch_Variation
i8JrY,1q3b1r/rB1Q1p1p/1p3k2/1P2p3/1n4P1/8/PP2PP1P/R3K2R b KQ - 0 19,b8b7 d7f5 f6e7 f5e5,1281,76,93,7621,crushing deflection middlegame short,https://lichess.org/i6Ni9Fs9/black#38,English_Opening English_Opening_Symmetrical_Variation
7rwL0,r5nN/ppkb4/4p1Qp/3pn3/1b1q4/2N5/PP3PPP/R1B2RK1 w - - 0 16,g6g7 e5f3 g1h1 d4g7,1402,75,84,1164,crushing discoveredAttack middlegame short,https://lichess.org/ZA3phrmk#31,French_Defense French_Defense_Advance_Variation
qezEC,8/1R4pp/2R5/2b3rk/2p5/5K2/7P/8 b - - 5 58,g7g6 b7h7,882,77,100,156,endgame master mate mateIn1 oneMove,https://lichess.org/nXLcnFQQ/black#116,
1li1X,4R3/5ppk/7p/1p6/3N4/b1P4P/1r3PP1/6K1 w - - 2 31,e8b8 b2b1 g1h2 a3d6 g2g3 d6b8,1087,101,94,486,advantage endgame fork long,https://lichess.org/PV9Ipcvt#61,
